window_idx,t_start_s,t_end_s,ecg_mean,ecg_std,ecg_min,ecg_max,ecg_skew,ecg_kurt,ecg_hr_bpm,ecg_rr_mean_ms,ecg_rr_std_ms,ecg_rmssd,ecg_rr_range_ms,ecg_pnn50,eda_e4_mean,eda_e4_std,eda_e4_min,eda_e4_max,eda_e4_skew,eda_e4_kurt,eda_e4_scl_mean,eda_e4_scl_std,eda_e4_scl_slope,eda_e4_scr_n_peaks,eda_e4_scr_mean_amp,eda_e4_scr_max_amp,eda_rb_mean,eda_rb_std,eda_rb_min,eda_rb_max,eda_rb_skew,eda_rb_kurt,eda_rb_scl_mean,eda_rb_scl_std,eda_rb_scl_slope,eda_rb_scr_n_peaks,eda_rb_scr_mean_amp,eda_rb_scr_max_amp,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_skew,bvp_kurt,bvp_ac_dc_ratio,bvp_hr_bpm,bvp_ibi_mean_ms,bvp_ibi_std_ms,bvp_ibi_cv,bvp_pulse_amp_mean,bvp_pulse_amp_std,bvp_vasomotor_power,emg_mean,emg_std,emg_min,emg_max,emg_skew,emg_kurt,emg_rms,emg_mav,emg_iemg,emg_wl,emg_zcr,emg_median_freq,emg_mean_freq,resp_mean,resp_std,resp_min,resp_max,resp_skew,resp_kurt,resp_rate_bpm,resp_interval_mean_s,resp_interval_std_s,resp_irregularity_idx,resp_amp_mean,resp_amp_std,resp_dominant_freq,cross_eda_e4_rb_corr,cross_hr_bvp_ecg_diff
0,0.0,9.996,-0.0003587215937430587,0.13005953433566728,-0.2253911351192812,0.8064626878520589,4.054000142471496,18.62208444817769,85.33116619260464,703.1428571428571,46.22829160865611,18.924953002685267,116.0,0.0,3.042746123313582,0.3299816662549671,2.627621510641786,3.673054493983081,0.23606489274051642,-1.0271451132965186,2.8082908680373877,0.021672559024200087,2.71915864700997e-05,1,0.856040970720279,0.856040970720279,7.467521372446654,0.9693566301829357,6.174305178073257,8.752082574054372,-0.26240878015184393,-1.6565216868935144,6.522698532474329,0.04978076752007032,6.268045071966407e-05,0,0.0,0.0,-0.39905896630602866,33.18031148618303,-70.63408169932111,51.93169564904174,-0.3743464672231175,-1.0570050469923853,4.315378705550914,86.47450110864746,693.8461538461538,106.89079018157283,0.15405546256767702,36.75825627027667,13.309675124385507,0.0,-4.3546165185631005e-06,0.0035823677031310867,-0.0163140213163767,0.013203978480409,-0.2892499469670159,0.7043606028557892,0.0035816538051265576,0.002787931970017001,0.027879319700170012,9.2173746407754,0.466,56.640625,57.901725988894434,-0.02956990172532758,1.5968016285733124,-2.368098684109864,3.416525688691729,0.537145011715783,-0.7134506776001261,11.194029850746269,5.36,,,4811866.122946334,6750466.962741574,0.48828125,0.6556794564502996,1.143334916042818
1,10.0,19.996,-0.001021752758793824,0.1238426951467251,-0.1932415168237564,0.8277246339383029,4.411361508749716,21.731417263568723,82.60670032124827,726.3333333333334,17.095099421835027,13.483997249264842,52.0,0.0,2.898669581079382,0.05999100895449245,2.8003655894110437,3.028031980347372,0.3781915707148717,-0.7785371248990187,2.974472006989512,0.00610650524506213,-7.605073454933888e-06,0,0.0,0.0,8.752908289489913,0.08052912106633513,8.593810736442217,8.850767002402371,-0.3452467168017177,-1.4535612348345193,8.769811168678444,0.0026880977685238712,3.2235729523284714e-06,2,0.08144840758525262,0.08297913818101144,0.404205393712227,35.96084097688502,-75.64986015189308,56.70242351035752,-0.4437306120789532,-1.0960425213662581,4.213121388875416,83.22663252240717,720.9230769230769,24.93478673948486,0.03458730554986163,42.462202503928246,7.335315580461315,0.0,1.4986196002059909e-06,0.0033034084976043885,-0.0128222154895652,0.0119697452341403,-0.23611472401462807,0.31022267277476523,0.003302748089822288,0.0025963378137143396,0.025963378137143393,8.50308617686462,0.4468,52.24609375,55.53176785437921,-0.09858061224571124,1.6568437148799322,-2.074853718473031,3.615418648713173,0.5924974426302599,-0.9659547844183751,10.885341074020321,5.512,,,3178408.202843269,4457516.782615508,0.48828125,0.8021995186843247,0.6199322011589032
2,20.0,29.996,0.00043397350701101194,0.12684756422131677,-0.1902165314179176,0.7984199123450006,4.197833014264084,19.560246851273394,82.62711864406779,726.1538461538462,16.13405380887557,14.047538337136986,60.0,0.0,2.735611039769847,0.03670778360436648,2.671396676815513,2.8002473050487118,0.10404696426028252,-1.256643244493933,2.7756747340496295,0.0029098138314809997,-3.6349993597770543e-06,1,0.010992343183016118,0.010992343183016118,8.51863194935345,0.04784600740427479,8.445685983843282,8.633771684838495,0.6506891004695392,-0.3897437172752807,8.537997081756606,0.005201409177153316,-6.4176223286595455e-06,2,0.06636705728871739,0.09990376294986625,-0.19093434490615946,33.15489920187988,-65.67050056877852,44.12193179262592,-0.4234844597220176,-1.231939995399438,3.7417488308486604,82.17446270543616,730.1538461538462,79.50874810762036,0.10889314426875944,39.41125792431236,3.262166574991637,0.0,3.7246020497862583e-06,0.003354391385631658,-0.0129976820183431,0.0142895588070643,-0.17024597413884057,0.4710135824910857,0.0033537225085020234,0.0026233597098384506,0.026233597098384506,8.477061235890455,0.4552,55.17578125,55.79235915150096,-0.014412431430370725,1.9364100121556793,-2.667479478842765,3.648290459753453,0.34902260005934366,-1.2078766768287545,11.811023622047244,5.08,,,1760239.78591423,2123181.125166444,0.48828125,-0.14053052024753335,0.45265593863163645
3,30.0,39.996,0.0003876096948924669,0.1287450672796496,-0.1871598886324272,0.8240754661428207,4.218904984732495,19.71703309945033,81.38564273789649,737.2307692307693,11.358945418727963,14.236104336041748,44.0,0.0,2.743513858312711,0.07649075872453309,2.665793525778818,2.9026723602247,0.7102209840792841,-0.7713900142678498,2.687164682939657,0.0029499610567069153,3.736557048630046e-06,1,0.2132605294718668,0.2132605294718668,9.244225199710622,0.5023769112384291,8.616751108635807,9.885247621411512,0.16569421599934658,-1.8188852640296964,8.7731724789827,0.020841347849974483,2.622038472537114e-05,4,0.8238477884909159,1.095297631777532,-0.5097692059732575,34.674926027623734,-66.02403571299891,45.47822248758136,-0.40834331724231004,-1.277822299445343,3.615682536390461,81.41112618724559,737.0,19.456244615687133,0.026399246425627045,40.31432756930424,2.9742308689636032,0.0,-2.6746260073394453e-06,0.003110602424581165,-0.0127393329506422,0.0097969238686055,-0.34011965339648575,0.3945945047329902,0.003109981391979215,0.002431301318420935,0.02431301318420935,8.119619153043834,0.4636,56.640625,57.389067543572374,0.026078153154075766,2.2184693271125644,-3.3005580634499574,3.737216814456677,0.18598381588827087,-1.3922046839578714,11.210762331838565,5.352,,,1878995.5913685097,2629003.3628713214,0.48828125,0.7876057439622977,0.025483449349096077
4,40.0,49.996,-0.00019611277419516782,0.1274956075421313,-0.1972937137213345,0.8385297828935782,4.174414721348778,19.635059831645563,86.17152236356175,696.2857142857143,52.07011334054022,59.142591707213455,216.0,7.142857142857142,2.662099642422351,0.03895848704202199,2.5919245416096173,2.7205731917306486,-0.5059158958549721,-1.0800846042502141,2.6994468287267273,0.002257045831509611,-2.8155730817817045e-06,1,0.003163964059483604,0.003163964059483604,9.938151484277192,0.13971594927652609,9.686710569461942,10.16629793331976,-0.42279521515517715,-0.655642335214365,9.850028386563753,0.008774245399615117,1.0976784190944416e-05,3,0.1575587856719718,0.3160029045958499,0.12638419003244034,39.38325544922762,-109.97961400506686,123.08164463692728,-0.266178370893567,-0.048440160922329945,7.047257518696983,83.26216908625106,720.6153846153846,77.02547031289764,0.10688846221900825,45.82458435379933,23.2757466167016,0.0,3.679433602725865e-07,0.0028870414018625666,-0.0104425890007068,0.0095731920407337,-0.20372839830477715,0.3347352588470103,0.002886463959281055,0.002266101652901771,0.022661016529017707,7.800516852804854,0.4792,57.6171875,58.46891039488916,0.1326042693742719,2.4284781846463313,-4.071512919434727,4.875968558755864,0.1593702786264921,-1.0878845598727536,11.127596439169139,5.392,,,6343644.113899399,8871086.81855371,0.48828125,-0.0988115899970108,2.909353277310686
5,50.0,59.996,-0.00036156025415188126,0.12579677875901352,-0.1902259888080247,0.831665478550239,4.3541450183088655,21.448816734487984,82.94342832837091,723.3846153846154,62.9464566934185,66.3023378170031,244.0,7.6923076923076925,2.5297186326192436,0.03115468191194104,2.4833610372528505,2.591865583255907,0.19446186330397958,-1.072158814341434,2.5660125579891035,0.0029183173832979742,-3.6401259722546955e-06,0,0.0,0.0,9.882270718660163,0.057383690302895814,9.76893118887686,10.007096730776766,-0.23137675029400928,-0.7823952277081587,9.913201724507205,0.0017668498558011882,-2.2484918913920637e-06,1,0.05373429490761161,0.05373429490761161,0.6328946410389266,31.844987458534213,-63.8024706298341,40.04111880449262,-0.5155597846306598,-1.1329877804590585,3.7075251136411578,81.82962652119177,733.2307692307693,58.11218152010507,0.07925496850203166,36.70542015421365,2.280202844275697,0.0,-9.216629273574473e-07,0.002694343717683808,-0.0101545981852724,0.0105610842854062,-0.1265848093237652,0.27390105489884853,0.002693804952712268,0.0021217067043181187,0.021217067043181187,7.347597581502345,0.486,60.546875,60.69509202071982,-0.11691230580333022,2.2450533357498945,-3.517955296123529,4.121173132984085,0.37473150154610413,-1.1525016690352359,11.673151750972762,5.140000000000001,,,3010391.4809432547,4205777.141631825,0.48828125,0.9178438659393545,1.1138018071791436
6,60.0,69.996,0.0002142604452311823,0.1275805927665383,-0.1876922864606679,0.825953890688995,4.244285952884964,19.972973738558167,80.545229244114,744.9230769230769,22.459079598466555,15.663120165960974,72.0,0.0,2.585665322210045,0.0438496739594056,2.5239190291195266,2.680798530594416,0.6035727985028478,-0.6258278912399171,2.574160651731175,0.003991666233409686,4.867932552326189e-06,2,0.0770166001203314,0.11289833425776585,10.015388762682296,0.12122077748872463,9.84672579892404,10.262926353885174,0.4045771922073955,-0.9043957294375988,10.007841775375383,0.0036899278810000454,4.560794437534293e-06,2,0.18965414053142737,0.2535947873034914,-0.8128653401244216,34.16826445331296,-72.12669696362605,46.356212661258944,-0.4388631032975397,-1.165165094583161,3.9687975785891245,80.57296329453895,744.6666666666666,79.13777782316026,0.1062727544626145,39.6791778812203,3.965387190036643,0.0,-2.3697576447716994e-06,0.002685085584220173,-0.0124316008926188,0.0099120366950932,-0.23872095624431372,0.3246126831641938,0.0026845495593302887,0.0021173204572749525,0.021173204572749526,7.293100347875847,0.4768,59.08203125,60.79279424860637,-0.21679243958780767,2.0875754610349464,-2.9827843298906505,4.063651697333536,0.46426285327873,-1.1193441940211004,11.49425287356322,5.22,,,1633607.0891247822,2274700.791120699,0.48828125,0.382887516795245,0.027734050424953693
7,70.0,79.996,0.0006311202112987274,0.13378992922413346,-0.2134620471973484,0.826567044555229,3.499423299617906,15.40363044569326,86.6281652598845,692.6153846153846,15.650018432036331,12.54325848148452,52.0,0.0,3.8746978812414423,0.6663800215761979,2.5109911599990182,5.011296554766595,-0.3701355651665251,-0.2874607191766465,3.097328372574559,0.06855870849008815,8.535591779237945e-05,2,1.39601281046093,1.8593034619469835,16.31721924483735,4.078723649358782,10.022821114594416,21.67823460088431,-0.06757024295028771,-1.509021695384235,11.938566866536355,0.2564530264051756,0.00032131258853126715,1,9.529600797544346,9.529600797544346,-0.6045091527627101,39.81597561157617,-80.59527198770381,62.37938000945001,-0.3978055532990093,-1.1907879447315595,4.087111811324807,85.52631578947368,701.5384615384615,81.42953537119827,0.11607280261245367,47.62826595297729,8.9559415497789,0.0,1.4855483575723986e-06,0.0024160386703814133,-0.0123366660127199,0.0099641578251497,-0.07403823182302988,1.0189792051973843,0.0024155558711173707,0.0018523957172453883,0.018523957172453885,6.19646641095747,0.4712,56.640625,57.96523082356263,0.20382056978080773,1.9919825702291774,-3.1391896297363053,4.1079179111849164,0.07258532312629705,-1.1623197630163964,11.12759643916914,5.3919999999999995,,,5168594.306036444,7244705.2503211815,0.48828125,0.8165929128680967,1.1018494704108122
8,80.0,89.996,-0.0009049503994010552,0.12828758958068964,-0.2184101738381698,0.8223330100013702,4.005634471842384,18.571754304414718,85.86525759577279,698.7692307692307,24.786265841368166,19.765289440498126,68.0,0.0,3.3680070528358135,0.15478529323388862,3.178705484451055,3.675117857604822,0.7027145479665393,-0.7419427452860621,3.5562489194774214,0.014824148301640938,-1.8495459103344264e-05,1,0.08409591585500964,0.08409591585500964,19.37626858683335,0.8896532124730144,17.93466659332182,21.07242028556198,0.2632661696578217,-0.9268905151207312,20.358181992050817,0.06634934398609972,-8.292301464288489e-05,1,0.5654554118998298,0.5654554118998298,1.4310558337485046,38.693354954032884,-86.16028433880251,64.4754439095513,-0.4367765086326758,-1.0999677435363693,4.424176814950899,87.0285951098218,689.4285714285714,27.5170276953528,0.0399128043654102,48.44575384393859,6.988149738003888,0.0,6.857937339057374e-07,0.002491774737023087,-0.0087880348409119,0.0092568199000976,-0.0626455968785046,0.16858583559184082,0.0024912764266222034,0.001978366233127821,0.019783662331278207,6.645071442341338,0.4732,57.12890625,58.104675437724794,0.018427782185861726,2.651268830369751,-3.682537326386027,4.95331467226477,0.25763378034875484,-1.2913900071344204,11.773940345368917,5.096,,,592341.9435145986,719504.3269074783,0.48828125,0.9824189185419787,1.1633375140490045
9,90.0,99.996,-0.00021469175123301564,0.12826445134289158,-0.2060130101812329,0.8840874505201504,4.469250472589731,22.53178459751417,78.15892314372557,767.6666666666666,21.402350479809595,14.219065306194292,64.0,0.0,3.072082585861818,0.0535566295415284,3.003755359571337,3.1786104666059294,0.3228881932383877,-1.28602851558131,3.136215733518925,0.004964967440008624,-6.196679745175745e-06,0,0.0,0.0,16.806999023792862,0.6228305999175625,15.78933679083286,17.93359623120123,0.08167885133506968,-1.2015378416952676,17.52780671075157,0.049817929448361935,-6.218467535654457e-05,0,0.0,0.0,0.08597145850801553,34.30988881856621,-69.38338128890288,44.45772827951609,-0.4570653331746044,-1.219402708798015,3.745677830637795,78.84362680683311,761.0,30.75415714693189,0.04041282148085663,38.734192045141114,2.935186002757636,0.0,1.4075043455092987e-07,0.0019097745047715726,-0.0072952373642639,0.0070038158835692,0.054502939132375604,0.4837178701517235,0.0019093925168551802,0.0014922948193932025,0.014922948193932025,5.067694921390855,0.4648,56.640625,58.42769296664365,-0.37831709546520453,2.3608723731154306,-3.148753542992278,4.39314625160101,0.5968298945847889,-1.0850027510315987,12.155591572123177,4.936,,,293950.86358389404,356852.2246412174,0.48828125,0.9860554420638243,0.6847036631075412
