Seconds;Ecg;Eda_E4;Eda_RB;Bvp;Emg;Resp;COVAS;Tmp
46.100000;-0.017377;0.295961;8.496859;-4.995880;0.000020;6.280542;1.000000;30.030000
46.104000;-0.016712;0.295966;8.496834;-5.334943;-0.017179;6.302220;1.000000;30.030000
46.108000;-0.014922;0.295971;8.496808;-5.692492;-0.007688;6.324053;1.000000;30.030000
46.112000;-0.012569;0.295976;8.496782;-6.069701;0.002529;6.346033;1.000000;30.030000
46.116000;-0.010836;0.295981;8.496755;-6.467660;-0.001251;6.368154;1.000000;30.030000
46.120000;-0.010778;0.295986;8.496728;-6.887327;-0.000641;6.390407;1.000000;30.030000
46.124000;-0.011719;0.295991;8.496700;-7.329479;0.008802;6.412786;1.000000;30.030000
46.128000;-0.010111;0.295996;8.496671;-7.794666;0.006106;6.435282;1.000000;30.030000
46.132000;-0.006226;0.296001;8.496642;-8.283154;-0.006487;6.457887;1.000000;30.030000
46.136000;-0.004716;0.296006;8.496613;-8.794886;-0.006897;6.480594;1.000000;30.030000
46.140000;-0.006765;0.296011;8.496582;-9.329447;0.001571;6.503396;1.000000;30.030000
46.144000;-0.009919;0.296016;8.496552;-9.886038;0.000007;6.526283;1.000000;30.030000
46.148000;-0.012546;0.296021;8.496520;-10.463453;-0.002482;6.549249;1.000000;30.030000
46.152000;-0.012593;0.296026;8.496489;-11.060056;0.006370;6.572285;1.000000;30.030000
46.156000;-0.009618;0.296031;8.496456;-11.673762;0.007756;6.595384;1.000000;30.030000
46.160000;-0.005705;0.296036;8.496423;-12.302030;-0.000543;6.618537;1.000000;30.030000
46.164000;-0.003179;0.296041;8.496390;-12.941864;-0.006650;6.641737;1.000000;30.030000
46.168000;-0.003498;0.296046;8.496356;-13.589847;-0.004901;6.664975;1.000000;30.030000
46.172000;-0.005358;0.296051;8.496321;-14.242278;0.000032;6.688244;1.000000;30.030000
46.176000;-0.006651;0.296055;8.496286;-14.895372;0.002389;6.711536;1.000000;30.030000
46.180000;-0.005408;0.296060;8.496251;-15.545388;0.007870;6.734842;1.000000;30.030000
46.184000;-0.001797;0.296065;8.496214;-16.188644;-0.001289;6.758155;1.000000;30.030000
46.188000;-0.000926;0.296069;8.496178;-16.821510;-0.013267;6.781467;1.000000;30.030000
46.192000;-0.004155;0.296074;8.496141;-17.440386;0.000932;6.804769;1.000000;30.030000
46.196000;-0.006703;0.296078;8.496103;-18.041698;0.006738;6.828055;1.000000;30.030000
46.200000;-0.007070;0.296083;8.496065;-18.621883;-0.001008;6.851314;1.000000;30.030000
46.204000;-0.004925;0.296087;8.496026;-19.177382;0.002177;6.874540;1.000000;30.030000
46.208000;0.000436;0.296091;8.495986;-19.704642;0.002883;6.897724;1.000000;30.030000
46.212000;0.005908;0.296095;8.495946;-20.200111;0.001375;6.920859;1.000000;30.030000
46.216000;0.007068;0.296099;8.495906;-20.660254;-0.001048;6.943935;1.000000;30.030000
46.220000;0.003742;0.296103;8.495865;-21.081567;-0.005861;6.966945;1.000000;30.030000
46.224000;0.000482;0.296107;8.495823;-21.460614;-0.002890;6.989881;1.000000;30.030000
46.228000;-0.000227;0.296110;8.495781;-21.794054;0.000451;7.012734;1.000000;30.030000
46.232000;-0.000260;0.296114;8.495739;-22.078690;0.000906;7.035496;1.000000;30.030000
46.236000;0.000504;0.296117;8.495695;-22.311509;0.004906;7.058159;1.000000;30.030000
46.240000;0.003194;0.296120;8.495652;-22.489721;0.002913;7.080715;1.000000;30.030000
46.244000;0.004650;0.296123;8.495607;-22.610804;-0.001829;7.103155;1.000000;30.030000
46.248000;0.003227;0.296126;8.495562;-22.672552;-0.001003;7.125472;1.000000;30.030000
46.252000;0.003161;0.296129;8.495516;-22.673127;-0.004101;7.147657;1.000000;30.030000
