Seconds;Ecg;Eda_E4;Eda_RB;Bvp;Emg;Resp;COVAS;Tmp
5.868000;0.003445;0.406269;7.315647;11.704928;0.000022;0.012061;0.250000;34.770000
5.872000;0.000016;0.406242;7.315459;11.581525;-0.000087;0.012291;0.500000;34.770000
5.876000;-0.002221;0.406214;7.315272;11.432202;-0.009170;0.012521;0.750000;34.770000
5.880000;-0.004323;0.406186;7.315083;11.253801;-0.000703;0.012753;1.000000;34.770000
5.884000;-0.007827;0.406158;7.314894;11.043244;0.006357;0.012986;1.000000;34.770000
5.888000;-0.009440;0.406129;7.314704;10.797599;-0.000335;0.013219;1.000000;34.770000
5.892000;-0.007151;0.406101;7.314514;10.514139;0.000218;0.013454;1.000000;34.770000
5.896000;-0.002916;0.406072;7.314323;10.190409;0.003992;0.013689;1.000000;34.770000
5.900000;0.002202;0.406042;7.314133;9.824290;-0.000681;0.013926;1.000000;34.770000
5.904000;0.011844;0.406013;7.313941;9.414054;-0.004060;0.014163;1.000000;34.770000
5.908000;0.028590;0.405983;7.313750;8.958413;-0.000607;0.014401;1.000000;34.770000
5.912000;0.043735;0.405953;7.313558;8.456549;0.000205;0.014640;1.000000;34.770000
5.916000;0.049105;0.405923;7.313367;7.908158;0.001199;0.014880;1.000000;34.770000
5.920000;0.050524;0.405893;7.313175;7.313488;0.000552;0.015121;1.000000;34.770000
5.924000;0.055680;0.405862;7.312984;6.673375;-0.001746;0.015363;1.000000;34.770000
5.928000;0.063323;0.405832;7.312792;5.989268;0.005991;0.015605;1.000000;34.770000
5.932000;0.069296;0.405801;7.312601;5.263245;-0.000314;0.015849;1.000000;34.770000
5.936000;0.075292;0.405770;7.312409;4.498031;-0.008880;0.016093;1.000000;34.770000
5.940000;0.083823;0.405739;7.312218;3.697021;0.007609;0.016338;1.000000;34.770000
5.944000;0.087239;0.405708;7.312028;2.864287;0.001868;0.016585;1.000000;34.770000
5.948000;0.076526;0.405676;7.311837;2.004573;-0.011552;0.016832;1.000000;34.770000
5.952000;0.057733;0.405645;7.311647;1.123277;0.003449;0.017080;1.000000;34.770000
5.956000;0.043194;0.405613;7.311457;0.226433;0.005860;0.017330;1.000000;34.770000
5.960000;0.033223;0.405581;7.311268;-0.679377;-0.002202;0.017581;1.000000;34.770000
5.964000;0.020422;0.405549;7.311079;-1.587372;-0.000382;0.017832;1.000000;34.770000
5.968000;-0.000636;0.405518;7.310890;-2.491220;-0.002987;0.018085;1.000000;34.770000
5.972000;-0.025864;0.405486;7.310703;-3.385622;-0.002891;0.018339;1.000000;34.770000
5.976000;-0.045189;0.405453;7.310515;-4.266551;0.004729;0.018594;1.000000;34.770000
5.980000;-0.056768;0.405421;7.310328;-5.131220;0.004243;0.018851;1.000000;34.770000
5.984000;-0.063791;0.405389;7.310142;-5.977982;-0.002645;0.019109;1.000000;34.770000
5.988000;-0.067289;0.405357;7.309957;-6.806234;-0.000822;0.019368;1.000000;34.770000
5.992000;-0.068049;0.405324;7.309772;-7.616308;0.004666;0.019629;1.000000;34.770000
5.996000;-0.070207;0.405292;7.309588;-8.409367;-0.002101;0.019892;1.000000;34.770000
6.000000;-0.075465;0.405260;7.309404;-9.187292;-0.003208;0.020156;1.000000;34.770000
6.004000;-0.078558;0.405227;7.309221;-9.952575;0.000646;0.020423;1.000000;34.770000
6.008000;-0.076498;0.405195;7.309039;-10.708205;-0.002618;0.020691;1.000000;34.770000
6.012000;-0.072742;0.405162;7.308858;-11.457557;0.000323;0.020961;1.000000;34.770000
6.016000;-0.071985;0.405130;7.308678;-12.204276;-0.000221;0.021233;1.000000;34.770000
6.020000;-0.072754;0.405097;7.308499;-12.952171;0.004181;0.021508;1.000000;34.770000
6.024000;-0.070149;0.405065;7.308320;-13.705123;0.006011;0.021785;1.000000;34.770000
6.028000;-0.066191;0.405032;7.308142;-14.467028;0.000380;0.022064;1.000000;34.770000
6.032000;-0.068496;0.405000;7.307966;-15.241753;-0.002369;0.022345;1.333333;34.770000
6.036000;-0.088439;0.404968;7.307790;-16.033100;-0.013459;0.022629;1.666667;34.770000
6.040000;-0.146085;0.404935;7.307615;-16.844764;-0.001979;0.022915;2.000000;34.770000
6.044000;-0.246228;0.404903;7.307442;-17.680272;0.007130;0.023204;2.000000;34.770000
6.048000;-0.345845;0.404871;7.307269;-18.542902;-0.005222;0.023495;2.000000;34.770000
6.052000;-0.374698;0.404839;7.307098;-19.435582;0.001488;0.023789;2.000000;34.770000
6.056000;-0.256991;0.404807;7.306927;-20.360783;0.005220;0.024086;2.000000;34.770000
6.060000;0.066683;0.404774;7.306758;-21.320413;0.008230;0.024385;2.000000;34.770000
6.064000;0.540900;0.404742;7.306590;-22.315708;0.009551;0.024687;2.000000;34.770000
6.068000;0.979590;0.404711;7.306424;-23.347111;-0.006679;0.024992;2.000000;34.770000
